"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"1556881","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.31057","-77.70815","reported","Accurate","Lake Ontario","04150200","2013","6","27","established","<a href = http://www.misin.msu.edu/browse/record.php?id=519967 target = _blank >MISIN report ID 519967</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557358","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.92109","-83.89777","reported","Accurate","Lake Huron","04080300","2013","7","2","established","<a href = http://www.misin.msu.edu/browse/record.php?id=512937 target = _blank >MISIN report ID 512937</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1557359","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","43.9211","-83.8975","reported","Accurate","Lake Huron","04080300","2013","7","2","established","<a href = http://www.misin.msu.edu/browse/record.php?id=512939 target = _blank >MISIN report ID 512939</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558501","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.63803","-88.00895","reported","Accurate","Lake Michigan","04060200","2013","7","5","established","n=2 aggregate IDs by 1e-04  decimal accuracy, from 2013-07-05 to 2013-07-05; <a href = http://www.misin.msu.edu/browse/record.php?id=515598 target = _blank >MISIN report ID 515598</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1558506","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","44.63804","-88.009","reported","Accurate","Lake Michigan","04060200","2013","7","5","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515600 target = _blank >MISIN report ID 515600</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559593","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.42359","-84.93347","reported","Accurate","Lake Michigan","04060200","2013","7","1","established","<a href = http://www.misin.msu.edu/browse/record.php?id=547623 target = _blank >MISIN report ID 547623</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559599","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.42389","-84.93455","reported","Accurate","Boardman-Charlevoix","04060105","2013","7","1","established","<a href = http://www.misin.msu.edu/browse/record.php?id=547622 target = _blank >MISIN report ID 547622</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559601","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.424","-84.93293","reported","Accurate","Boardman-Charlevoix","04060105","2013","7","1","established","<a href = http://www.misin.msu.edu/browse/record.php?id=547621 target = _blank >MISIN report ID 547621</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1559720","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.65666","-84.47528","reported","Accurate","Lake Huron","04080300","2013","6","22","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513346 target = _blank >MISIN report ID 513346</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560047","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.99206","-84.35982","reported","Accurate","Lake Huron","04080300","2013","6","20","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513545 target = _blank >MISIN report ID 513545</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560071","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","45.99347","-84.36104","reported","Accurate","Lake Huron","04080300","2013","6","20","established","<a href = http://www.misin.msu.edu/browse/record.php?id=513493 target = _blank >MISIN report ID 513493</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560818","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.76058","-83.44092","reported","Accurate","Ottawa-Stony","04100001","2014","7","10","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515954 target = _blank >MISIN report ID 515954</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560829","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.76604","-83.44347","reported","Accurate","Ottawa-Stony","04100001","2014","7","10","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515970 target = _blank >MISIN report ID 515970</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560816","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.75709","-83.47821","reported","Accurate","Lake Erie","04120200","2014","7","10","established","<a href = http://www.misin.msu.edu/browse/record.php?id=516095 target = _blank >MISIN report ID 516095</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560817","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.76053","-83.44097","reported","Accurate","Ottawa-Stony","04100001","2014","7","10","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515955 target = _blank >MISIN report ID 515955</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1560826","2961","Plants","Typhaceae","Typha X glauca","white cattail","","","","[No locality description provided]","41.76556","-83.44356","reported","Accurate","Ottawa-Stony","04100001","2014","7","10","established","<a href = http://www.misin.msu.edu/browse/record.php?id=515977 target = _blank >MISIN report ID 515977</a>","Literature","","","Freshwater","27950","Database","2019","Michigan State University Board of Trustees.","Midwest Invasive Species Information Network (MISIN)","Michigan State University. Department of Entomology - Applied Spatial Ecology and Technical Services Laboratory","East Lansing, MI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
